,Date_of_statistics,IC_admission,Admission_Increase
732,2022-02-28,10,False
733,2022-03-01,18,False
734,2022-03-02,12,False
735,2022-03-03,11,False
736,2022-03-04,13,False
737,2022-03-05,12,False
738,2022-03-06,11,False
739,2022-03-07,16,True
740,2022-03-08,17,False
741,2022-03-09,17,True
742,2022-03-10,13,True
743,2022-03-11,21,True
744,2022-03-12,10,True
745,2022-03-13,10,True
746,2022-03-14,24,True
747,2022-03-15,24,True
748,2022-03-16,15,True
749,2022-03-17,18,True
750,2022-03-18,18,True
751,2022-03-19,14,True
752,2022-03-20,16,True
753,2022-03-21,23,True
754,2022-03-22,19,True
755,2022-03-23,21,True
756,2022-03-24,21,True
757,2022-03-25,11,True
758,2022-03-26,16,True
759,2022-03-27,13,False
760,2022-03-28,16,False
761,2022-03-29,18,False
762,2022-03-30,14,False
763,2022-03-31,14,False
764,2022-04-01,12,False
765,2022-04-02,6,False
766,2022-04-03,6,False
767,2022-04-04,8,False
768,2022-04-05,13,False
769,2022-04-06,14,False
770,2022-04-07,16,False
771,2022-04-08,7,False
772,2022-04-09,8,False
773,2022-04-10,9,False
774,2022-04-11,7,False
775,2022-04-12,16,True
776,2022-04-13,10,False
777,2022-04-14,11,False
778,2022-04-15,7,False
779,2022-04-16,3,False
780,2022-04-17,8,False
781,2022-04-18,7,False
782,2022-04-19,13,False
783,2022-04-20,5,False
784,2022-04-21,9,False
785,2022-04-22,7,False
786,2022-04-23,4,False
787,2022-04-24,7,False
788,2022-04-25,5,False
789,2022-04-26,2,False
790,2022-04-27,9,False
791,2022-04-28,3,False
792,2022-04-29,2,False
793,2022-04-30,6,False
794,2022-05-01,6,False
795,2022-05-02,3,False
796,2022-05-03,3,False
797,2022-05-04,7,False
798,2022-05-05,1,False
799,2022-05-06,3,False
800,2022-05-07,3,False
801,2022-05-08,3,False
802,2022-05-09,3,False
803,2022-05-10,6,False
804,2022-05-11,1,False
805,2022-05-12,0,False
